Datum,brand,addresse,diesel
26.10.2022,Gustoil,"Rue Industrielle , 2740 Moutier",2.209
09.11.2022,Rasthof-Platanenhof,"Platanenstr. 1, 3236 Gampelen",2.208
16.11.2022,Ben S. Shop & Change,"Route de Bellegarde 71, 1284 Chancy",2.205
12.11.2022,Garage Wüest,"Willisauerstr. 24, 6218 Ettiswil",2.205
21.08.2022,Küng AG Bern,"Hubelgutstrasse 1, 3048 Worblaufen",2.2
16.10.2022,Shell,"Neudorfstr. 102, 7430 Thusis",2.2
26.10.2022,Agrola,"route Cantonale 1, 2733 Pontenet",2.2
26.10.2022,Merillat,"Grand Rue 68, 2735 Malleray",2.2
26.10.2022,Jubin,"rue Principale 28, 2735 Bévilard",2.2
26.10.2022,Merillat,"Rue Principale 8, 2736 Sorvilier",2.2
31.03.2022,Coop,"Untere Dürrmühlestrasse 19, 4704 Niederbipp",2.2
01.04.2022,Coop,"Dorfstrasse 20, 4612 Wangen b. Olten",2.2
20.11.2022,Socar,"Baldeggstr. 18, 6280 Hochdorf",2.2
18.11.2022,BP Service Crissier,"rte de Prilly 29, 1023 Crissier",2.2
20.11.2022,Tamoil,"Luzernstr. 33, 6280 Hochdorf",2.2
28.10.2022,Tamoil,"Bernstrasse 49, 3175 Flamatt",2.2
25.11.2022,Coop,"Via Stazione 33, 6593 Cadenazzo",2.2
16.11.2022,Coop Pronto,"Toggenburgerstr. 103 , 9500 Wil SG",2.2
16.11.2022,Shell,"Toggenburgerstr. 129 , 9500 Wil SG",2.2
16.11.2022,Avia,"Toggenburgerstr. 28, 9532 Rickenbach b. Wil",2.2
20.11.2022,Shell,"Wilerstr. 208, 9500 Wil SG",2.2
14.08.2022,HESSAG,"Worblaufenstr. 159, 3048 Worblaufen",2.2
18.11.2022,Coop Pronto,"rte Etagnières, 1037 Etagnières",2.2
06.04.2022,Ruedi Rüssel,"Aarburgerstr. 96, 4600 Olten",2.2
18.04.2022,Jubin,"Route de Saillon 94, 1926 Fully",2.2
18.04.2022,Jubin,"Avenue des Comtes de Savoie, 1913 Saillon",2.2
12.04.2022,Migrol,"Dorf 62, 6160 Entlebuch",2.2
12.04.2022,Schuetzenmatt Garage,"Hauptstr., 6160 Entlebuch",2.2
01.04.2022,Ruedi Rüssel,"Im Herzel 7, 4614 Hägendorf",2.2
31.03.2022,Socar,"Solothurnstrasse 9, 4702 Oensingen",2.2
13.11.2022,Coop Pronto,"Langenthalstr. 90, 4912 Aarwangen",2.2
20.11.2022,BP,"Ebnaterstr. 63, 9630 Wattwil",2.2
16.11.2022,Avia,"Wolfikon 73, 9533 Kirchberg SG",2.2
16.11.2022,BP,"Kirchbergerstr. 36, 9534 Gähwil",2.2
20.11.2022,Agrola,"Wilerstr. 87, 9630 Wattwil",2.2
18.11.2022,station Agip,"bd Arc-en-Ciel 37, 1030 Bussigny-Lausanne",2.2
16.10.2022,Ruedi Rüssel Tankstelle ,"Reichenauerstr. 36, 7013 Domat/Ems",2.2
16.11.2022,Agrola,"Lütisburgerstr., 9243 Jonschwil",2.2
20.11.2022,Agrola,"Bischofszellerstr. 45, 9200 Gossau SG",2.2
16.11.2022,Avia,"Im Dorf 14, 9245 Oberbüren",2.2
20.11.2022,MS Oil,"Bischofszellerstr. 61;, 9200 Gossau SG",2.2
20.11.2022,Coop Pronto," Bischofszellerstr. 303, 9212 Arnegg",2.2
28.10.2022,Station Simplonblick,"Kantonsstrasse, 3942 Raron",2.2
20.11.2022,BP,"Bischofszellerstr. 315, 9212 Arnegg",2.2
20.11.2022,Avia,"Sulgerstr. 41, 9220 Bischofszell",2.2
20.11.2022,Avia,"Hauptstr. 23, 9213 Hauptwil",2.2
16.11.2022,Eni,"Bahnhofstrasse 170, 9244 Niederuzwil",2.2
20.11.2022,Coop Pronto,"Wilerstr. 210, 9500 Wil SG",2.2
20.11.2022,BP,"Herisauerstrasse 89, 9200 Gossau",2.2
22.11.2022,COOP Pronto,"En Milavy 2, 1580 Avenches",2.2
13.10.2022,Coop Pronto,"Bernstrasse 11, 3238 Gals",2.2
20.11.2022,Coop,"Alpsteinstr. 26, 9100 Herisau",2.2
28.10.2022,Ikas,"Furkastr. 142, 3904 Naters",2.2
20.03.2022,Shell Station,"Rte de Meyrin 248, 1217 Meyrin",2.2
24.09.2022,Oil,"Binzikerstr. 22, 8627 Grüningen",2.2
06.06.2022,BP,"Bielstr. 98, 3250 Lyss",2.2
20.11.2022,BP Tankstelle Ricken,"Rapperswilerstr. 17, 8726 Ricken",2.2
20.11.2022,Coop,"Wilerstr. 48, 9630 Wattwil",2.2
20.11.2022,Abderhalden AG,"Wilerstr. 144, 9620 Lichtensteig",2.2
20.11.2022,Avia,"Alpsteinstr. 38, 9100 Herisau",2.2
26.10.2022,Avia,"Delsbergstr. 61, 4242 Laufen",2.2
16.11.2022,Avia,"Staatsstr. 16, 9246 Niederbüren",2.2
13.11.2022,Garage Bosshard,"Nebikerstr. 5, 6247 Schötz",2.2
16.10.2022,Auto Twin Towers,"Richtstrasse 4, 7000 Chur",2.2
01.04.2022,Socar,"Solothurnerstr. 170, 4600 Olten",2.2
21.03.2022,City Moesa SA,"Campagnola, 6534 S. Vittore",2.195
18.04.2022,Shell,"Route de Pra Riond 4, 1635 La Tour-de-Trême",2.19
18.04.2022,Coop Pronto,"Route de Pra Riond 1, 1635 La Tour-de-Trême",2.19
31.10.2022,Frei Trankstelle,"Via Maistra, 7537 Müstair",2.19
31.10.2022,Shell,"Grand-Rue 60, 2710 Tavannes",2.19
07.10.2022,Tamoil,"Knotternstr. 1, 9422 Staad",2.19
02.10.2022,Migrol,"Brünigstrasse 52, 6072 Sachseln",2.19
20.11.2022,Hergol,"Aargauerstr. 15, 6294 Ermensee",2.19
20.11.2022,Freie Tankstelle,"Seetalstr., 6285 Hitzkirch",2.19
24.10.2022,Avia,"Beim Bahnhof 1, 3822 Lauterbrunnen",2.19
18.04.2022,Garage de Lioson,"Route du Col des Mosses 62, 1862 Les Mosses",2.19
16.10.2022,AK CAR SHOP AG ,"Industriestrasse 6, 7208 Malans GR",2.19
16.11.2022,Dorf Tankstelle,"Toggenburgerstr. 11, 9608 Ganterschwil",2.19
21.11.2022,TopCC,"Herbergstrasse 17, 9524 Zuzwil SG",2.19
06.11.2022,Avia,"Seetalstr. 32, 6020 Emmenbrücke",2.19
12.04.2022,Agrola,"Zugerstr. 4, 6403 Küssnacht am Rigi",2.19
31.03.2022,Migrol,"Buchlistrasse 1, 4704 Niederbipp",2.19
12.04.2022,Agrola,"Luzernerstr. 47 , 6045 Meggen",2.19
18.04.2022,station Miniprix,"rte Vanel 121, 1647 Corbières",2.19
12.04.2022,Shell,"Gotthardstr. 45 , 6045 Meggen",2.19
16.10.2022,Ruedi Rüssel,"Landstr. 27, 7304 Maienfeld",2.19
25.03.2022,Midland,"Bahnhofstr 9, 3672 Oberdiessbach",2.19
11.10.2022,Agrola,"Sandackerstr., 9245 Oberbüren",2.19
16.11.2022,BP,"Staatsstr. 57, 9246 Niederbüren",2.19
10.09.2022,Ruedi Rüssel,"Höheweg 199, 3800 Interlaken",2.19
16.10.2022,Rheingarage Jaeger AG,"Untere Industrie 2, 7304 Maienfeld",2.19
24.11.2022,Auto Steiger,"Wiese 39, 8767 Elm",2.19
13.10.2022,Centre de l,"Route du Vignoble 25, 2017 Boudry",2.19
06.11.2022,Coop-Pronto,"Seetalstr. 44, 6020 Emmenbrücke",2.19
25.09.2022,G. Roos,"Zürichstr. 48, 8606 Nänikon",2.19
24.09.2022,Schlossgarage Furrer AG,"Esslingerstr. 2, 8627 Grüningen",2.19
26.10.2022,Socar,"Baselstr. 15, 4242 Laufen",2.19
01.10.2022,Eni,"GRABENHOF, 6010 Kriens",2.19
15.10.2022,Garage Riggenbach,"Holzikerst. 3, 5042 Hirschthal",2.19
21.03.2022,Avia,"Via Cantonale, 6802 Rivera",2.19
21.03.2022,Tamoil,"Via Cantonale, 6804 Bironico",2.19
21.03.2022,Shell,"Via Cantonale, 6804 Bironico",2.19
21.03.2022,Tamoil,"Via Cantonale, 6814 Lamone",2.19
20.11.2022,Reinigungstechnik Welti GmbH,"Luzernerstrasse 11, 6284 Gelfingen",2.19
19.11.2022,BP,"Rothenburgstrasse 12, 6020 Emmenbrücke",2.19
28.10.2022,Tank schön,"Furkastr. , 3985 Münster VS",2.189
21.03.2022,Socar Camorino,"Via Cantonale, 6528 Camorino",2.18
26.10.2022,Mini Prix,"Route de Tavannes 44, 2732 Reconvilier",2.18
21.03.2022,Socar,"Via San Gottardo, 6592 S. Antonino",2.18
21.03.2022,Shell,"Via Gorelle, 6592 S. Antonino",2.18
17.07.2022,Garage Peter Weber,"Luterbachstrasse 51, 4528 Zuchwil",2.18
21.03.2022,Tamoil,"Via Giulia 47, 6855 Stabio",2.18
21.03.2022,Piccadilly,"Via Gaggiolo 33, 6855 Stabio",2.18
21.03.2022,Eni,"Via Gaggiolo 35, 6855 Stabio",2.18
21.03.2022,Eni,"Via Gaggiolo 45, 6855 Stabio",2.18
21.03.2022,Eni,"Via Gaggiolo 42, 6855 Stabio",2.18
18.04.2022,Shell,"Freiburgstr. 508, 3018 Bern",2.18
29.11.2022,station Shell,"rte Genève 9A, 1033 Cheseaux-Lausanne",2.18
18.04.2022,Avia,"Freiburgstr. 528, 3172 Niederwangen BE",2.18
20.11.2022,Ruedi Rüssel,"Hauptstr. 8, 6283 Baldegg",2.18
31.10.2022,Coop,"Rue du Bruye 65, 2732 Reconvilier",2.18
26.10.2022,Station Migrol,"Rte de Reconvilier 13, 2710 Tavannes",2.18
21.03.2022,Coop,"Via San Gottardo 73, 6500 Bellinzona",2.18
18.04.2022,Jubin,"Route des Ouges, 1660 Les Moulins",2.18
18.04.2022,Jubin,"Route du Fragnolet 1, 1660 Château-d'Oex",2.18
18.04.2022,Agrola,"Route de Saanen 2, 1660 Château-d'Oex",2.18
12.04.2022,Hergol,"Hauptstrasse 56, 6182 Escholzmatt",2.18
01.04.2022,Mini Prix,"Oltnerstr. 3, 4622 Egerkingen",2.18
12.04.2022,BP,"Luzernerstr. 44, 6045 Meggen",2.18
12.04.2022,Hergol,"Luzernerstr. 26, 6045 Meggen",2.18
08.04.2022,Agrola,"Tanneggerstr. 4, 8374 Dussnang",2.18
21.03.2022,Eni,"Via San Gottardo, 6593 Cadenazzo",2.18
21.03.2022,Avia,"Via Gaggiolo 39, 6855 Stabio",2.18
23.10.2022,Nasaline Route 10,"Umfahrungsstr. , 6102 Malters",2.18
15.10.2022,Leone,"Othmarsingerstr. 3, 5600 Lenzburg",2.18
21.03.2022,Socar,"Via della Posta 23, 6934 Bioggio",2.18
12.04.2022,Coop Pronto,"Lindenstrasse, 6000 Luzern",2.18
21.03.2022,Eni,"Via Bellinzona 17, 6512 Giubiasco",2.18
16.10.2022,Garage Keller + Co.,"Hauptstr. 14, 7411 Sils im Domleschg",2.18
12.04.2022,Migrol,"Hauptstrasse 128, 6182 Escholzmatt",2.18
21.03.2022,Eni,"Via San Gottardo, 6500 Bellinzona",2.18
21.03.2022,Socar,"Via San Gottardo 129, 6500 Bellinzona",2.18
21.03.2022,Eni,"Via Emilio Motta, 6500 Bellinzona",2.18
12.04.2022,oeltrans,"Lauenenstr. 2, 3855 Brienz BE",2.18
21.03.2022,Eni,"Monte Ceneri, 6802 Rivera",2.18
21.03.2022,Eni,"Bricola, 6802 Rivera",2.18
21.03.2022,Eni,"Via Cantonale, 6805 Mezzovico",2.18
21.03.2022,Eni City,"Via Serta, 6814 Lamone",2.18
16.10.2022,Agrola Top Shop,"ussere Heinzenbergstr. 1, 7430 Thusis",2.18
21.03.2022,Coop,"Via Monte Ceneri 20, 6512 Giubiasco",2.18
21.03.2022,Socar,"Via Franco Zorzi 36, 6500 Bellinzona",2.18
20.11.2022,Agrola,"Mattenstr., 5734 Reinach AG",2.175
21.03.2022,Euro Petrolio,"Via Gaggiolo 52, 6855 Stabio",2.17
21.03.2022,Sprint Shop,"Via Gaggiolo 61, 6855 Stabio",2.17
21.03.2022,esca,"Via Gaggiolo 54, 6855 Stabio",2.17
18.04.2022,Mini Prix,"Route de Berne 24, 1700 Fribourg",2.17
18.04.2022,Mini Prix,"Route du Stadtberg 1b, 1700 Fribourg",2.17
18.04.2022,Tamoil,"Route de l'Intyamon 108, 1666 Villars-sous-Mont",2.17
18.04.2022,Mini Prix,"Route de l'Intyamon 14, 1669 Neirivue",2.17
12.04.2022,Tamoil,"Balmhofmatte, 3856 Brienzwiler",2.17
12.04.2022,Avia,"Süderen, 3618 Süderen",2.17
12.04.2022,Tamoil,"Aebnit 96, 3614 Unterlangenegg",2.17
25.04.2022,Jura-Garage Peter AG,"Jurastr. 15, 3294 Büren an der Aare",2.17
18.04.2022,Mini Prix,"Rue de l'Ancien Comté 4, 1635 La Tour-de-Trême",2.17
20.04.2022,Shell,"Bielstrassse 50, 4537 Wiedlisbach",2.17
21.03.2022,Gioia,"Via San Gottardo 65, 6500 Bellinzona",2.17
28.10.2022,Tamoil,"Überlandstrasse, 3900 Brig",2.17
20.11.2022,Coop Pronto,"Aarauerstrasse 68, 5734 Reinach AG",2.17
20.11.2022,Migrol,"Dorf 181, 9104 Waldstatt",2.17
24.11.2022,Migrol,"St.Gallerstr. 101, 8645 Rapperswil-Jona",2.17
24.11.2022,Socar,"St.Gallerstr. 84, 8645 Rapperswil-Jona",2.17
19.04.2022,Bellevue-Garage,"Zürcherstrasse 45, 8908 Hedingen",2.169
25.11.2022,Landi,"Bahnhofstr. 55a, 8854 Siebnen SZ",2.16
21.03.2022,Go Gialla,"Via Gaggiolo 19, 6855 Stabio",2.16
20.11.2022,Tamoil,"Aarauerstr. 44, 5734 Reinach AG",2.16
26.10.2022,Jubin,"Rue Auguste Quiquerez 68, 2800 Delémont",2.16
21.03.2022,esca,"Via Gaggiolo 57, 6855 Stabio",2.16
26.11.2022,Migrol,"St. Gallerstrasse 22, 9524 Zuzwil SG",2.16
01.04.2022,Migrol,"Oltnerstr. 46, 4622 Egerkingen",2.16
26.11.2022,Agrola,"St. Gallerstrasse 20, 9524 Zuzwil SG",2.16
26.11.2022,BP,"Walderstr. 74, 8630 Rüti ZH",2.16
12.04.2022,Agrola,"Kreuzweg 108, 3614 Unterlangenegg",2.16
18.04.2022,Freie Tankstelle,"Rue de l'Ancien Comté 104, 1635 La Tour-de-Trême",2.16
12.04.2022,Oeltrans,"Glockentalstr. 37, 3612 Steffisburg",2.16
20.11.2022,Avia,"Furtstr. 88, 9125 Brunnadern",2.16
12.04.2022,Coop Pronto,"Krankenhausstr. 1, 3600 Thun",2.16
21.03.2022,Gioia,"Via Gaggiolo 22, 6855 Stabio",2.16
20.11.2022,Red Fox,"Gossauerstr. 139, 9100 Herisau",2.16
30.04.2022,Agrola,"Rainstr. 3, 8808 Pfäffikon SZ",2.16
12.04.2022,Ruedi Rüssel,"Seestr. 41, 3658 Merligen",2.16
21.03.2022,Tamoil,"via Paradiso 22, 6924 Sorengo",2.16
20.11.2022,Landi TopShop,"Hauptstr., 9105 Schönengrund",2.16
16.10.2022,Avia,"Hauptstr. 1D, 7411 Sils im Domleschg",2.16
02.10.2022,Freie Tankstelle Sachseln,"Brünigstr. 149, 6072 Sachseln",2.16
21.03.2022,BP,"Via Clemente Maraini 6, 6900 Lugano",2.16
21.03.2022,Euro Service,"Via Monte Ceneri 11, 6512 Giubiasco",2.16
26.11.2022,Avia,"Walderstr. 45, 8630 Rüti ZH",2.159
23.11.2022,Avia,"Ochsenweg 2, 8636 Wald ZH",2.159
13.10.2022,Seeland Garage,"Neuenburgstrasse 19, 3236 Gampelen",2.158
19.12.2022,Bosch Service & Garage Amstad,"Via Charels Suot, 7502 Bever",2.15
16.10.2022,Voegtlin-Meyer,"Luzernerstr. 172, 5054 Moosleerau",2.15
20.11.2022,Luchs Oil,"Dorf 1, 9127 St. Peterzell",2.15
18.04.2022,Agrola,"Freiburgstrasse 900, 3174 Thörishaus",2.15
26.11.2022,BP,"Zürcherstr. 59, 9500 Wil SG",2.15
26.11.2022,Socar,"Zürcherstr. 7, 9500 Wil SG",2.15
12.04.2022,Avia,"Oberdorf 14, 6166 Hasle LU",2.15
12.04.2022,Avia,"Hauptstr. 39, 6170 Schüpfheim",2.15
12.04.2022,Avia,"Geissenmoos 1, 6196 Marbach LU",2.15
12.04.2022,Ad Garage,"Färzbach 41d, 6197 Schangnau",2.15
21.09.2022,Bürgi AG,"Alte Frauenfelderstr., 8400 Winterthur",2.15
26.11.2022,Socar,"Zürcherstr. 10, 9552 Bronschhofen",2.15
28.04.2022,Shell,"Luzernstrasse 4, 4528 Zuchwil",2.15
26.11.2022,Avia,"Wilerstr. 48, 9542 Münchwilen TG",2.15
23.10.2022,Discount Tankstelle,"Bahnhofstr. 35, 6110 Wolhusen",2.15
26.11.2022,BP,"St. Gallerstr. 75, 9500 Wil SG",2.15
26.11.2022,BP,"Amriswilerstr. 4, 9220 Bischofszell",2.15
26.11.2022,Avia,"Dorf 9, 9613 Mühlrüti",2.15
26.11.2022,Socar,"Flurstr.8, 8370 Sirnach",2.15
11.03.2022,Coop Pronto,"Allmendstr. 49, 2562 Port",2.15
26.11.2022,Oberhofgarage,"Hauptstrasse, 8497 Fischenthal",2.15
06.03.2022,Avia,"Zürichstr. 44, 8600 Dübendorf",2.15
26.11.2022,R. Büchi,"Wilerstr. 4, 9542 Münchwilen TG",2.15
21.03.2022,minor prezzo 24h,"Via Carlo Maderno, 6850 Mendrisio",2.14
21.03.2022,BP,"Via Cantonale 15, 6815 Melide",2.14
21.03.2022,Eni,"Via Cantonale 31, 6815 Melide",2.14
13.11.2022,Kneubühler AG,"Obergasse 32, 4934 Madiswil",2.14
21.03.2022,Eni,"Riva Paradiso 40, 6900 Paradiso",2.14
12.04.2022,Tankstop Lammbach Ag,"Hauptstr., 3855 Brienz BE",2.14
20.11.2022,Red Fox,"Hauptstr. 85, 9105 Schönengrund",2.14
18.04.2022,Coop Pronto,"Industriestrasse 43, 5036 Oberentfelden",2.14
26.11.2022,Avia,"Fischingerstr. 36, 8374 Dussnang",2.14
10.05.2022,Agrola,"Gewerbestrasse 27, 4512 Bellach",2.14
13.12.2022,Ben S. Shop & Change,"Route dAmbilly 58, 1226 Thônex",2.14
12.04.2022,Ruedi Rüssel,"Weier, 3616 Schwarzenegg",2.14
06.03.2022,Landi,"Toggenburgstr. 40, 9652 Neu St. Johann",2.14
06.03.2022,Shell,"Schaffhauserstr. 152, 8400 Winterthur",2.14
21.03.2022,Migrol Service,"Via Cantonale, 6934 Bioggio",2.13
21.03.2022,Migrol Service,"Via Cantonale, 6928 Manno",2.13
21.03.2022,BP,"Strada Regina, 6982 Agno",2.13
21.03.2022,Eni,"Via Cantonale, 6928 Manno",2.13
06.03.2022,Socar,"Ringstr. 17, 8600 Dübendorf",2.13
16.10.2022,Dosch,"Julierstr., 7457 Bivio",2.13
12.04.2022,Coop Pronto,"Hindervormüli 15, 6170 Schüpfheim",2.13
19.12.2022,Shell,"Zugerstr. 7, 6340 Sihlbrugg",2.13
12.04.2022,Kleinfeld-Garage,"Hauptstr., 6163 Ebnet",2.13
06.03.2022,Migrol,"In der Au 2, 8406 Winterthur",2.13
03.12.2022,Shell,"Zugerstr. 1, 8816 Hirzel",2.13
18.04.2022,Mini Prix,"Rte de la Gruyère 88, 1724 Essert FR",2.13
18.04.2022,Mini Prix,"Route de Fribourg, 1634 La Roche FR",2.13
27.11.2022,Agrola TopShop,"Mettlenbachstr. 11, 8617 Mönchaltorf",2.13
10.05.2022,Shell,"Bielstr. 89, 4500 Solothurn",2.13
10.05.2022,Migrol,"Baselstrasse 30, 4500 Solothurn",2.13
10.05.2022,BP,"Römerstr. 8, 4512 Bellach",2.13
10.05.2022,Coop Pronto,"Gurzelenstr. 2, 4512 Bellach",2.13
10.05.2022,Avia,"Bielstr. 7, 4512 Bellach",2.13
27.11.2022,Agrola,"Riedikerstr. , 8616 Riedikon",2.13
25.03.2022,Mini Prix,"Bielstr. 21, 2545 Selzach",2.13
12.04.2022,Ruedi Rüssel,"Dorfmatte 52, 6196 Marbach LU",2.13
06.03.2022,Coop Pronto,"Zürichstr. 70, 8306 Brüttisellen",2.13
12.04.2022,Oeltrans,"Hauptstr. 82, 3852 Ringgenberg BE",2.13
21.03.2022,BP,"Via Vedeggio 3, 6928 Manno",2.13
10.05.2022,Coop,"Bielstr. 50, 4500 Solothurn",2.13
24.11.2022,Avia,"Flüelerstr. 38, 6460 Altdorf UR",2.13
15.12.2022,Hubrol AG,"Hotel Central, 6493 Hospental",2.13
21.03.2022,Migrol,"Via Lugano 21, 6982 Agno",2.13
06.03.2022,Take 24,"Zürcherstr. 62, 8406 Winterthur",2.129
12.04.2022,Avia,"Seestrasse 36, 3800 Unterseen",2.129
27.11.2022,Mythen-Garage AG,"Gotthardstr. 166, 6438 Ibach",2.122
27.11.2022,Michele Rullo GmbH,"Schrotmättli 2, 6014 Littau",2.12
06.04.2022,Ruedi Rüssel,"Baslerstr. 77, 4600 Olten",2.12
06.03.2022,Horber AG,"Horben, 9642 Ebnat-Kappel",2.12
12.04.2022,Ruedi Rüssel,"Moosrain, 3852 Ringgenberg BE",2.12
12.04.2022,Migrol,"Seestrasse 109, 3800 Unterseen",2.12
12.04.2022,Ruedi Rüssel,"Hauptstr., 3852 Ringgenberg BE",2.12
12.04.2022,Migrol,"Hauptstr. 241a, 3852 Ringgenberg BE",2.12
23.11.2022,ECS Einkaufs-Center Schänis,"Biltnerstr. 32, 8718 Schänis",2.12
06.03.2022,BP,"Route de Lausanne, 1293 Bellevue",2.12
06.03.2022,Des Alpes,"Rue Thalberg 12, 1200 Genève",2.12
18.04.2022,Ikas Pneu Discount,"Allmei 3, 3930 Visp",2.12
24.11.2022,Garage Heussi,"Bahnhofstr. , 8783 Linthal",2.12
20.12.2022,eco speed,"Gotthardstr. 10, 6438 Ibach",2.12
21.03.2022,PK OIL SAGL,"Via Piodella 10, 6933 Muzzano",2.119
27.11.2022,Avia,"Riedikerstr. 5, 8610 Uster",2.119
20.12.2022,station Blécherette,"Avenue du Grey 119, 1018 Lausanne",2.11
27.11.2022,Bolzern Auto AG,"Rengglochstrasse 30, 6012 Obernau",2.11
19.12.2022,station Tamoil,"rte Plaine-du-Loup 26, 1018 Lausanne",2.11
16.10.2022,Posttankstelle,"Via Ludains 14, 7500 St. Moritz",2.11
27.11.2022,Hergol,"Luzernerstr. 137, 6014 Littau",2.11
18.04.2022,Self 24h,"Freiburgstrasse 31, 3174 Thörishaus",2.11
18.04.2022,Avia,"Freiburgstrasse 17, 3175 Flamatt",2.11
18.04.2022,Avia,"Lanthen 191, 3185 Schmitten FR",2.11
18.04.2022,Auto Niederhäuser AG,"Lanthen 211, 3185 Schmitten FR",2.11
18.04.2022,Tamoil,"Rte de Fribourg 50, 1724 Le Mouret",2.11
06.03.2022,Agip,"rte Lausanne 250, 1292 Chambésy",2.11
15.12.2022,BP Heidiland,"Autobahn A13, 7304 Maienfeld",2.11
28.03.2022,BP,"Langfeldstrasse 1, 4528 Zuchwil",2.11
26.11.2022,F. Obrist AG,"Hauptstr. 36, 8376 Fischingen",2.11
19.12.2022,Felber AG,"Oberurnerstr. 2, 8752 Näfels",2.11
27.11.2022,Agrola,"Kantonsstr., 8836 Biberbrugg",2.11
26.11.2022,Shell Waldhof,"Rütistr. 29, 8636 Wald ZH",2.11
10.12.2022,Shell Würenlos,"Raststätte A1 Bern - Zürich, 5436 Würenlos",2.1
04.12.2022,Agrola,"Inwilstr., 6274 Eschenbach LU",2.1
04.12.2022,Avia,"Luzernstr. 59, 6274 Eschenbach LU",2.1
10.12.2022,BP,"Wilestr. 2, 8957 Spreitenbach",2.1
10.12.2022,Agrola,"Untere Bahnhofstr. 34, 8340 Hinwil",2.1
10.12.2022,Avia,"Zürcherstr. 104, 5432 Neuenhof",2.1
10.12.2022,Shell,"Bahnhofstr., 8956 Killwangen",2.1
27.11.2022,Raststätte St. Katharina Nord,"A14, 6034 Inwil",2.1
18.04.2022,Garage Le Mouret,"Route de Fribourg 8, 1724 Le Mouret",2.1
03.12.2022,Coop-Pronto,"Zürichstr. 75, 8840 Einsiedeln",2.1
06.12.2022,Agrola,"Hinterdorfstr. 66, 8753 Mollis",2.1
06.06.2022,Coop,"Bielstrasse, 3250 Lyss",2.1
27.11.2022,Raststätte St. Katharina Süd,"A14, 6034 Inwil",2.1
17.12.2022,BP,"Rütistr. 163, 8645 Rapperswil-Jona",2.1
27.11.2022,Migrol Auto Service,"Mythen Center , 6438 Ibach",2.1
27.11.2022,BP,"Gotthardstr. 109, 6438 Ibach",2.1
27.11.2022,Coop,"Bahnhofstr. 156, 6423 Seewen SZ",2.1
22.11.2022,Kleintal Garage,"Kantonsstr., 8765 Engi",2.1
27.11.2022,Migrol,"Arsenalstr. 35, 6010 Kriens",2.1
18.04.2022,Coop Pronto,"Kantonsstr. 300, 3902 Glis",2.1
27.11.2022,Migrol,"Obernauerstr. 47, 6010 Kriens",2.1
27.11.2022,Migrol,"Hölzliwisenstr. 1, 8604 Volketswil",2.1
03.12.2022,Eni,"Einsiedlerstr. 12, 8834 Schindellegi",2.1
27.11.2022,Migrol,"Schlagstr. 99, 6430 Schwyz",2.1
17.12.2022,Rohner Nutzfahrzeuge AG,"Sankt Gallerstr. 51, 8856 Tuggen",2.1
17.12.2022,Eni,"Neue Jonastr. 128, 8640 Rapperswil-Jona",2.1
10.12.2022,Eni,"Zürichstr. 84, 8640 Rapperswil-Jona",2.1
03.12.2022,Avia-Tankstelle,"Bahnhofplatz 18, 8840 Einsiedeln",2.1
27.11.2022,Coop,"Steinbislin 3, 6423 Seewen SZ",2.1
27.09.2022,Marché Brügg AG,"Poststr. 13, 2555 Brügg BE",2.099
04.12.2022,Station Gebr. Jurt,"Menzikerstrasse 7, 6221 Rickenbach LU",2.09
19.12.2022,Socar,"Stelleweg 6, 7000 Chur",2.09
12.12.2022,Righetti,"via Cantonale 3, 6900 Lugano",2.09
04.12.2022,Avia,"Mülacher 8, 6024 Hildisrieden",2.09
09.12.2022,Migrolino,"rte Cossonay 66, 1008 Prilly",2.09
04.12.2022,Tamoil,"Zürcherstr. 42, 8854 Siebnen",2.09
04.12.2022,Migrol,"Glarnerstr. 77 , 8854 Siebnen",2.09
14.12.2022,station Migrol,"ch. Closalet 7, 1023 Crissier",2.09
16.12.2022,BP service Renens,"route de Renens, 1030 Bussigny-Lausanne",2.09
16.12.2022,BP service Bussigny,"rte de Crissier 6, 1030 Bussigny-Lausanne",2.09
27.11.2022,Agrola TopShop,"Stansstaderstrasse 100, 6370 Stans",2.09
10.12.2022,BP,"Gossauerstr. 14, 8340 Hinwil",2.09
17.12.2022,BP,"Helblingstr. 1, 4852 Rothrist",2.09
17.12.2022,Avia,"Helblingstr. 2, 4852 Rothrist",2.09
09.12.2022,Righetti,"Via S. Abbondio 44, 6925 Gentilino",2.09
09.12.2022,Righetti,"Via San Mamete 86, 6805 Mezzovico",2.09
09.12.2022,Righetti,"Via Pian Scairolo 36, 6915 Pambio-Noranco",2.09
12.04.2022,Ruedi Rüssel,"Unterdorf 10, 6170 Schüpfheim",2.09
10.12.2022,Coop,"Sihlbruggstr. 152, 6340 Baar",2.09
14.12.2022,Coop Pronto,"ch. de Saugy 1, 1023 Crissier",2.09
15.12.2022,Werner Blöchlinger,"Rickenstr. 6, 8735 St. Gallenkappel",2.09
14.12.2022,Coop Pronto,"Rappagugg 2, 7205 Zizers",2.09
21.03.2022,Avia,"Via Cantonale 51, 6983 Magliaso",2.09
16.12.2022,Regionalbus Lenzburg,"Lenzhardstr. 3, 5600 Lenzburg",2.09
28.04.2022,Migrol,"Langfeldstr. 30, 4528 Zuchwil",2.09
