Datum,brand,addresse,diesel
09.06.2022,Agrola,"Tränkebachstr. 42, 8712 Stäfa",2.329
16.07.2022,Tankstelle Svabic ,"Hauptstr. 75 , 8362 Balterswil",2.329
08.08.2022,Station F1,"rte Forge 1, 1116 Cottens VD",2.329
09.06.2022,Agrola,"Allenbergstr. 2, 8708 Männedorf",2.329
27.05.2022,Coop,"Gotthardstrasse , 6467 Schattdorf",2.32
11.07.2022,Coop,"Pantenweg 2 , 7430 Thusis",2.32
27.05.2022,Coop Pronto,"Zürcherstr. 229, 8953 Dietikon",2.32
27.05.2022,Mattli AG,"Unterdorf, 6484 Wassen UR",2.32
31.10.2022,Shell,"Kulm, 7265 Davos Wolfgang",2.32
14.08.2022,Tamoil,"Hohenemserstr. 65a, 9444 Diepoldsau",2.32
16.07.2022,Agrola,"Tösstalstr. 29, 8492 Wila",2.32
11.07.2022,Socar Stampa,"Strada Principale, 7605 Stampa",2.32
16.07.2022,BP,"Tösstalstr. 111, 8493 Saland",2.32
27.05.2022,Shell,"Überlandstrasse, 8104 Weiningen ZH",2.32
09.03.2022,Garage Hürlimann,"Haptstr. 38, 5506 Mägenwil",2.32
31.05.2022,Garage Guex SA,"rte Romanel 40, 1121 Bremblens",2.319
04.07.2022,Coop Pronto,"Kantonsstr. 99, 3952 Susten",2.31
04.07.2022,Migrol,"Simmentalstr., 3763 Därstetten",2.31
24.08.2022,BP,"Gewerbestr. 24, 8800 Thalwil",2.31
04.07.2022,Shell,"Kantonsstr. 34, 3930 Visp",2.31
20.08.2022,Coop,"Obermattstr. 1, 8805 Richterswil",2.31
09.06.2022,Scall,"Seestr. 47, 8708 Männedorf",2.31
30.08.2022,BP,"Kempttalstr. 54, 8330 Pfäffikon ZH",2.31
31.10.2022,Umbrail Tankstelle,"Do Fuschina 102, 7536 Sta. Maria V. M.",2.3
17.06.2022,Landi,"Unterdorfweg 7, 3753 Oey",2.3
16.07.2022,BP,"Isikerstr. 2, 8335 Hittnau",2.3
31.10.2022,Terretaz SA,"Curtins 104, 7530 Zernez",2.3
16.10.2022,Shell,"Punt Muragl 1, 7503 Samedan",2.3
31.05.2022,Garage Emery,"rte de Sullens 9, 1303 Penthaz",2.3
04.07.2022,Tamoil,"Kantonsstr. 73, 3930 Visp",2.3
05.09.2022,Agip,"Pfäffikerstr. 32, 8610 Uster",2.3
12.03.2022,Socar,"Orpundstr. 77, 2504 Biel/Bienne",2.3
09.06.2022,Socar,"Seestr. 801, 8706 Meilen",2.3
26.10.2022,Gustoil,"Route principale, 2830 Courrendlin",2.299
09.03.2022,"Gratank AG, Freie Tankstellle","Landstr. 10, 5524 Nesselnbach",2.299
13.05.2022,J. Lenz Söhne AG Garage Valbella,"Voa Principala, 7077 Valbella",2.295
31.10.2022,Eni,"San Roc, 7532 Tschierv",2.29
06.11.2022,Grenz Shop,"Chasa 241, 7560 Martina",2.29
06.11.2022,NAIRS,"Nairs 160, 7550 Scuol",2.29
04.09.2022,Oechslin AG,"Birchli 3, 8840 Einsiedeln",2.29
04.09.2022,Hänggi,"Schermenweg 151, 3072 Ostermundigen",2.29
04.07.2022,Tamoil,"Gsteigstr. 174, 3785 Gsteig b. Gstaad",2.29
04.07.2022,Ryter Reichenbach Automat,"Gsteigstr. 855, 3780 Gstaad",2.29
04.07.2022,Socar,"Gsteigstr. 18, 3780 Gstaad",2.29
11.06.2022,Coop Pronto Zollikofen,"Bernstr. 189, 3052 Zollikofen",2.29
18.04.2022,BP,"Rte d'Aigle 58, 1867 Ollon VD",2.29
31.10.2022,Garage Rainalter,"Via Maistra 60, 7542 Susch",2.29
18.04.2022,Jubin,"Avenue du Chamossaire 9, 1860 Aigle",2.29
11.06.2022,Coop,"Bernstrasse 201, 3052 Zollikofen",2.29
11.06.2022,Socar,"Bernstrasse 222, 3052 Zollikofen",2.29
15.12.2022,Shell Glarnerland,"Autobahnraststätte West A3, 8867 Niederurnen",2.29
03.09.2022,Simeond,"Chemin d'Entre-Bois 21, 1018 Lausanne",2.29
13.05.2022,Ring Garage AG Chur,"Ringstr. 5-9, 7000 Chur",2.29
17.05.2022,BP,"Loretostr. 57, 9620 Lichtensteig",2.29
27.05.2022,Gruppe Tonino,"via San Gotthardo, 6780 Airolo",2.29
10.05.2022,Coop,"Rheinstr. 9, 9463 Oberriet SG",2.29
06.05.2022,Shell,"Av. de l'Ain 5, 1214 Vernier",2.29
28.10.2022,Restoroute de la Gruyère,"Restoroute de la Gruyère, 1644 Avry-devant-Pont",2.29
05.09.2022,Hänggi,"Bolligenstr., 3072 Ostermundigen",2.29
11.07.2022,Ruedi Rüssel,"Chesa Fringuel, 7516 Maloja",2.29
04.09.2022,Hänggi,"Murtenstr. 112, 3202 Frauenkappelen",2.29
10.05.2022,Avia,"Rheinstr. 7, 9463 Oberriet SG",2.29
11.06.2022,Tamoil,"Lochackerweg 5, 3302 Moosseedorf",2.29
28.10.2022,Garage E. Schläpfer AG,"Giessereistr. 1, 8620 Wetzikon ZH",2.289
31.10.2022,Socar,"Hauptstrasse, 7537 Müstair",2.28
04.07.2022,Agrola,"Simmentalstr., 3763 Därstetten",2.28
05.09.2022,"Sihlsee-Garage, Andermatt AG","Grosserstrasse 34, 8841 Gross",2.28
28.10.2022,A9 Relais Du St-Bernard,"A9 Relais Du St-Bernard, 1920 Martigny",2.28
05.09.2022,Shell,"Industriestr. 20a, 8604 Volketswil",2.28
28.10.2022,BP,"Zürcherstr. 86, 8620 Wetzikon ZH",2.28
31.10.2022,PARCROM,"Cunfin, 7537 Müstair",2.28
04.07.2022,Landi,"Thunstrasse 29H, 3770 Zweisimmen",2.28
04.07.2022,Agrola,"Kantonsstr. 50, 3930 Eyholz",2.28
04.07.2022,Migrol,"Kantonstrasse, 3952 Susten",2.28
09.08.2022,Holzmätteli,"Hofstettenstrasse, 3626 Hünibach",2.28
13.05.2022,Coop Pronto,"rte Lausanne 43, 1110 Morges",2.28
27.05.2022,Oil,"Pestalozzistr. 2, 8620 Wetzikon ZH",2.28
28.10.2022,Eni Wetzikon,"Zürcherstr. 22, 8620 Wetzikon ZH",2.28
04.07.2022,Agip,"Kantonststr., 3930 Eyholz",2.28
24.08.2022,Coop Pronto,"Altishoferstr. 29, 6252 Dagmersellen",2.28
12.08.2022,station,"ch Matagasses, 1268 Burtigny",2.28
26.10.2022,BP,"Bözingenstr. 100, 2500 Biel/Bienne",2.28
28.10.2022,Avia,"Zürcherstr. 5, 7320 Sargans",2.28
07.04.2022,Garage Autopac SA,"ch. des Fourches 1, 1305 Penthalaz",2.28
18.04.2022,Gunzgen Raststätte Süd,"Autobahntankstelle Gunzgen-Süd, 4617 Gunzgen",2.279
15.05.2022,Shell,"Feldhofstr. 2, 8610 Uster",2.275
23.05.2022,Denner,"rue de la Gare 2, 1373 Chavornay",2.27
04.07.2022,Benzin Discount,"Saanenstrasse, 3770 Zweisimmen",2.27
28.10.2022,Agrola,"Giessenstr. 4, 8717 Benken SG",2.27
28.10.2022,Shell,"Bernstrasse 50, 3175 Flamatt",2.27
28.10.2022,BP,"Bernstr. 6, 3175 Flamatt",2.27
06.11.2022,Avia,"Bundesplatz 2, 6003 Luzern",2.27
06.11.2022,Avia,"Tribschenstr. 19, 6005 Luzern",2.27
04.07.2022,Ruedi Rüssel,"Thunstr. 7, 3770 Zweisimmen",2.27
26.10.2022,Shell,"Reuchenettestr. 86, 2502 Biel/Bienne",2.27
06.11.2022,Avia,"Landenbergst. 35, 6000 Luzern",2.27
13.03.2022,Agrola,"Rickenstr. 68, 9630 Wattwil",2.27
26.10.2022,Tamoil,"Solothurnstr. 76 , 2500 Biel/Bienne",2.27
17.10.2022,BP Service San Murezzan,"Via San Gian 21, 7500 St. Moritz",2.26
28.10.2022,Migrol Service Altdorf GmbH,"Flüelerstrasse 154, 6460 Altdorf UR",2.26
22.07.2022,Migrol,"Haupstr. 145, 3212 Gurmels",2.26
26.10.2022,Shell,"Rue Auguste-Quiquerez 8, 2800 Delémont",2.26
21.05.2022,Tamoil,"Rte de Meyrin 210, 1217 Meyrin",2.26
04.07.2022,Coop Pronto,"Thunstrasse 18, 3770 Zweisimmen",2.26
27.06.2022,Daetwyler Swiss Tec AG,"Flugplatz, 3368 Bleienbach",2.26
07.11.2022,Valora SA,"rte de Prilly 2, 1023 Crissier",2.26
06.11.2022,Agrola,"Industriestr. 6, 6313 Menzingen",2.26
04.07.2022,Migrol,"Thunstrasse 16, 3770 Zweisimmen",2.26
25.09.2022,Eni,"Esslingerstr. 39, 8618 Oetwil am See",2.26
15.04.2022,Avia,"Rue des Bossons 106, 1213 Petit-Lancy",2.26
