Datum,brand,addresse,diesle,bleifrei,lat,lon
18.07.2022,Obere Au Garage AG,"Kalchbühlstr. 12, 7000 Chur",2.329,2.219,46.846797943115234,9.511068344116211
16.07.2022,Tankstelle Svabic ,"Hauptstr. 75 , 8362 Balterswil",2.329,2.179,47.45767593383789,8.944849967956543
08.08.2022,Station F1,"rte Forge 1, 1116 Cottens VD",2.329,2.129,,
27.05.2022,Coop,"Gotthardstrasse , 6467 Schattdorf",2.32,2.17,46.86958312988281,8.651376724243164
11.07.2022,Coop,"Pantenweg 2 , 7430 Thusis",2.32,2.19,,
27.05.2022,Coop Pronto,"Zürcherstr. 229, 8953 Dietikon",2.32,2.18,47.39734649658203,8.426926612854004
27.05.2022,Mattli AG,"Unterdorf, 6484 Wassen UR",2.32,2.19,,
14.08.2022,Tamoil,"Hohenemserstr. 65a, 9444 Diepoldsau",2.32,2.15,47.37908935546875,9.668221473693848
16.07.2022,Agrola,"Tösstalstr. 29, 8492 Wila",2.32,2.19,47.419986724853516,8.846354484558105
11.07.2022,Socar Stampa,"Strada Principale, 7605 Stampa",2.32,2.22,46.343040466308594,9.590202331542969
16.07.2022,BP,"Tösstalstr. 111, 8493 Saland",2.32,2.23,47.390506744384766,8.854117393493652
27.05.2022,Shell,"Überlandstrasse, 8104 Weiningen ZH",2.32,2.18,,
09.03.2022,Garage Hürlimann,"Haptstr. 38, 5506 Mägenwil",2.32,2.16,,
31.05.2022,Garage Guex SA,"rte Romanel 40, 1121 Bremblens",2.319,2.149,,
04.07.2022,Coop Pronto,"Kantonsstr. 99, 3952 Susten",2.31,2.22,46.308841705322266,7.652044773101807
24.08.2022,BP,"Gewerbestr. 24, 8800 Thalwil",2.31,2.13,47.28635787963867,8.565969467163086
04.07.2022,Shell,"Kantonsstr. 34, 3930 Visp",2.31,2.2,46.29212951660156,7.890344619750977
20.08.2022,Coop,"Obermattstr. 1, 8805 Richterswil",2.31,2.11,47.203365325927734,8.685127258300781
30.08.2022,BP,"Kempttalstr. 54, 8330 Pfäffikon ZH",2.31,2.08,47.368892669677734,8.779218673706055
31.10.2022,Umbrail Tankstelle,"Do Fuschina 102, 7536 Sta. Maria V. M.",2.3,1.94,,
16.07.2022,BP,"Isikerstr. 2, 8335 Hittnau",2.3,2.19,47.368473052978516,8.822005271911621
31.10.2022,Terretaz SA,"Curtins 104, 7530 Zernez",2.3,1.9,46.70218276977539,10.094063758850098
16.10.2022,Shell,"Punt Muragl 1, 7503 Samedan",2.3,1.95,46.5086555480957,9.882516860961914
31.05.2022,Garage Emery,"rte de Sullens 9, 1303 Penthaz",2.3,2.17,,
04.07.2022,Tamoil,"Kantonsstr. 73, 3930 Visp",2.3,2.21,46.29410171508789,7.9009504318237305
05.09.2022,Agip,"Pfäffikerstr. 32, 8610 Uster",2.3,2.045,47.35764694213867,8.728433609008789
26.10.2022,Gustoil,"Route principale, 2830 Courrendlin",2.299,1.799,,
09.03.2022,"Gratank AG, Freie Tankstellle","Landstr. 10, 5524 Nesselnbach",2.299,2.169,47.38914108276367,8.294528007507324
13.05.2022,J. Lenz Söhne AG Garage Valbella,"Voa Principala, 7077 Valbella",2.295,2.135,46.744876861572266,9.556238174438477
